24.09.2020:1697.0
04.04.2018:1972.0
01.02.2017:1818.0
24.09.2020:6538.5
04.04.2018:6625.0
01.02.2017:5931.0
01.02.2017:60.0851
04.04.2018:57.5375
24.09.2020:76.3545
01.02.2017:64.285
04.04.2018:70.9207
24.09.2020:89.2508
01.02.2017:1.9356
04.04.2018:1.9593
13.06.2020:2.3781
24.09.2020:2.5908
01.02.2017:2.0703
04.04.2018:2.4137
13.06.2020:2.689
24.09.2020:3.0296
01.02.2017:3.2224
04.04.2018:3.4037
13.06.2020:3.4115
24.09.2020:3.3936
